comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,906.5430908203125,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.19865599274635315,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.11980800330638885,0.0,0.0,1
CommType.all_reduce,CommGroup.dp_group,4,8,init.model_setup,None,None,,0.11878400295972824,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,4,32,init.model_setup,None,None,,0.1525759994983673,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,24,init.model_setup,None,0,,1048.7982177734375,0.0,0.0,1
CommType.all_gather,CommGroup.dp_group,4,64,init.model_setup,None,None,,29.591552734375,0.0,0.0,1
CommType.epoch_end,None,None,0,,None,None,,10029.667377471924,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,40,forward_step,None,0,,0.13926400244235992,0.0,0.0,1
CommType.broadcast,CommGroup.tp_group,2,16448,forward_step,None,0,,0.12185599654912949,0.13,0.13,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronEmbedding,None,None,,0.2396160066127777,65.21,65.21,1
CommType.computation,None,None,((2048 1 4096) (4096 6144)),forward.MegatronColumnLinear.attention_column,None,None,,1.1919360160827637,0,0,1
CommType.computation,None,None,((2048 1 2048) (2048 4096)),forward.MegatronRowLinear.attention_row,None,None,,1.1878399848937988,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.23552000522613525,66.34,66.34,1
CommType.computation,None,None,((2048 1 4096) (4096 5440)),forward.MegatronColumnLinear.mlp_column,None,None,,1.7838079929351807,0,0,1
CommType.computation,None,None,((2048 1 5440) (5440 4096)),forward.MegatronRowLinear.mlp_row,None,None,,1.831936001777649,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.2672640085220337,58.46,58.46,1
CommType.computation,None,None,((2048 1 4096) (4096 6144)),forward.MegatronColumnLinear.attention_column,None,None,,1.1909120082855225,0,0,1
CommType.computation,None,None,((2048 1 2048) (2048 4096)),forward.MegatronRowLinear.attention_row,None,None,,1.1724799871444702,0,0,1
CommType.all_reduce,CommGroup.tp_group,2,16777216,forward.MegatronRowLinear,None,None,,0.29388800263404846,53.17,53.17,1
CommType.computation,None,None,((2048 1 4096) (4096 5440)),forward.MegatronColumnLinear.mlp_column,None,None,,1.7838079929351807,0,0,1
CommType.computation,None,None,((2048 1 5440) (5440 4096)),forward.MegatronRowLinear.mlp_row,None,None,,1.7827839851379395,0,0,1
